Start of the Ejecta,End of the Ejecta,MC
,2002-06-27T16:57:00,2002-06-28T01:07:30
,2002-07-31T17:33:00,2002-08-01T06:27:00
2002-08-01T05:20:03,2002-08-01T11:33:00,2002-08-02T03:43:17
2002-08-01T23:03:45,2002-08-02T07:17:37,2002-08-03T07:10:52
2002-08-18T18:36:33,2002-08-19T18:53:26,2002-08-21T21:45:00
2002-09-07T16:21:00,2002-09-08T04:12:00,2002-09-08T19:43:30
,2002-09-08T22:30:00,2002-09-10T21:51:45
2002-09-19T06:12:56,2002-09-19T21:07:01,2002-09-20T21:39:39
,2002-09-26T15:18:00,2002-09-27T14:37:30
2002-09-30T07:52:30,2002-09-30T22:03:00,2002-10-01T18:45:00
2002-10-02T22:39:00,2002-10-03T05:15:00,2002-10-04T15:45:00
,2002-11-08T08:37:30,2002-11-09T17:21:28
2002-11-16T23:30:45,2002-11-17T09:24:45,2002-11-19T00:27:00
,2002-12-17T20:36:00,2002-12-18T12:57:45
,2002-12-18T15:59:15,2002-12-19T03:19:52
,2002-12-21T07:12:00,2002-12-22T18:09:00
,2003-01-27T01:48:00,2003-01-27T16:03:00
2003-02-01T13:07:30,2003-02-01T18:49:30,2003-02-02T13:07:30
,2003-02-02T16:16:30,2003-02-03T07:27:45
2003-03-20T04:25:30,2003-03-20T12:40:30,2003-03-20T21:58:30
2003-05-09T04:48:00,2003-05-09T09:27:00,2003-05-10T23:06:00
2003-05-29T11:48:45,2003-05-29T13:00:45,2003-05-30T00:04:30
2003-05-29T18:25:58,2003-05-30T02:00:00,2003-05-30T16:00:00
2003-05-30T15:53:00,2003-05-30T22:25:30,2003-05-31T20:01:30
,2003-06-17T19:03:00,2003-06-18T09:04:30
,2003-07-23T14:33:00,2003-07-24T14:28:30
,2003-08-05T01:59:15,2003-08-06T01:43:30
,2003-08-18T00:24:45,2003-08-19T04:34:30
2003-11-20T08:37:30,2003-11-20T12:00:00,2003-11-21T03:58:30
,2004-01-24T08:54:22,2004-01-24T23:38:54
2004-04-03T09:51:45,2004-04-04T02:44:15,2004-04-05T07:59:15
2004-04-26T16:12:00,2004-04-27T04:48:00,2004-04-27T20:15:00
,2004-06-25T11:36:56,2004-06-26T07:57:33
2004-07-22T09:41:03,2004-07-23T17:30:28,2004-07-24T05:53:15
2004-07-24T05:25:24,2004-07-24T16:54:56,2004-07-25T15:11:14
2004-07-26T22:21:00,2004-07-27T03:11:15,2004-07-27T15:23:37
2004-08-01T01:43:30,2004-08-01T15:49:30,2004-08-02T08:37:30
,2004-08-03T12:24:45,2004-08-03T20:57:45
2004-08-29T09:08:09,2004-08-29T18:45:00,2004-08-30T21:45:00
2004-09-13T19:41:15,2004-09-14T16:43:30,2004-09-15T14:30:45
,2004-09-18T12:06:11,2004-09-19T06:09:00
2004-11-07T18:00:00,2004-11-08T04:30:00,2004-11-09T10:18:44
2004-11-09T18:27:00,2004-11-09T20:32:30,2004-11-10T16:50:15
2004-11-11T16:45:45,2004-11-12T08:51:00,2004-11-13T08:08:15
,2004-12-27T16:12:00,2004-12-28T17:57:45
,2005-01-07T15:09:00,2005-01-08T03:36:00
,2005-01-08T23:59:15,2005-01-09T17:37:30
,2005-01-16T16:10:07,2005-01-17T07:05:15
,2005-01-18T22:12:00,2005-01-20T02:40:46
,2005-01-31T20:05:09,2005-02-02T09:15:45
,2005-02-18T14:50:37,2005-02-19T04:15:00
,2005-02-20T12:33:45,2005-02-21T01:35:37
,2005-02-21T04:07:30,2005-02-22T02:43:07
2005-05-07T18:22:30,2005-05-08T17:03:45,2005-05-11T04:30:00
2005-05-15T02:06:00,2005-05-15T05:15:00,2005-05-19T02:51:00
2005-05-20T03:33:45,2005-05-20T06:49:30,2005-05-21T05:19:30
2005-05-28T03:18:00,2005-05-28T23:22:42,2005-05-29T14:51:00
2005-05-29T08:55:55,2005-05-30T01:05:15,2005-05-30T15:19:41
,2005-05-31T02:22:18,2005-06-01T03:04:30
